Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,CTG1,Natural Gas Fired Combined Cycle,CT,G581,S,X,,,,195.0, ,185.0,192.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,CTG2,Natural Gas Fired Combined Cycle,CT,,S,X,,,,190.0, ,95.0,95.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,CTG3,Natural Gas Fired Combined Cycle,CT,,S,X,,,,190.0, ,95.0,95.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,STG1,Natural Gas Fired Combined Cycle,CA,G581,S,N,X,,,100.0, ,86.0,97.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,,,
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,STG2,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,114.0, ,100.0,100.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
1015,Austin Energy,55708,Nacogdoches Power,TX,Nacogdoches,STG3,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,136.0, ,68.0,68.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
61012,AES Distributed Energy,55719,Mountain View I & II,CA,Riverside,GEN2,Onshore Wind Turbine,WT,,W,X,X,,,22.2, ,22.2,22.2,0.0,N, , ,RE,X,7,2001,12,2021,N,IPP Non-CHP,2,X,WND,,,,,,,,,,N,N,37,,,,,,,,,,,
61012,AES Distributed Energy,55719,Mountain View I & II,CA,Riverside,GENI,Onshore Wind Turbine,WT,,W,X,X,,,42.6, ,42.6,42.6,0.0,N, , ,RE,X,6,2001,12,2021,N,IPP Non-CHP,2,X,WND,,,,,,,,,,N,N,74,,,,,,,,,,,
9191,Idaho Power Co,55733,Bennett Mountain,ID,Elmore,FT01,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,170.0, ,142.0,190.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,,,
9191,Idaho Power Co,55733,Bennett Mountain,ID,Elmore,FT03,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,50.0, ,50.0,50.0, ,N, , ,CN,X, , , , ,,Electric Utility,1,,NG,,,,,,,,,,,, ,,,,,,,,,,,
17058,Shell Wind Energy Inc.,55740,Rock River I LLC,WY,Carbon,GEN1,Onshore Wind Turbine,WT,,J,X,X,,,50.0, ,50.0,50.0,0.0,N, , ,RE,X,10,2001,11,2022,N,IPP Non-CHP,2,X,WND,,,,,,,,,,N,,50,,,,,,,,,N,,
55972,Valencia Power LLC,55802,Valencia Energy Facility,NM,Valencia,CTG2,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,159.5, ,159.5,159.5, ,N, , ,IP,X, , , , ,,IPP Non-CHP,2,,NG,,,,,,,,,,,, ,,,,,,,,,N,,
